"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","TIME","Value",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2015","11.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2016","13.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2017","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2005","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2006","25.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2007","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2008","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2009","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2010","19.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2011","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2012","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2013","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2014","15.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2015","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2016","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2017","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","196","CYP","Cyprus","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2005","24.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2006","24.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2007","24.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2008","25.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2009","25.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2010","24.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2011","22.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2012","22.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2013","21.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2014","21.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2015","21.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2016","21.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2017","20.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","203","CZE","Czechia","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2005","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2006","21.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2007","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2008","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2009","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2010","19.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2011","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2012","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2013","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2014","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2015","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2016","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2017","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","208","DNK","Denmark","2018","..",
