"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2008","5.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2009","5.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2010","6.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2011","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2012","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2013","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2014","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2015","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2016","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2017","32.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2005","14.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2006","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2007","18.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2008","20.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2009","23.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2010","25.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2011","28.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2012","29.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2013","32.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2014","33.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2015","33.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2016","33.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","276","DEU","Germany","2017","34.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2005","4.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2006","4.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2007","5.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2008","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2009","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2010","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2011","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2012","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2013","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2014","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2015","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2016","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","300","GRC","Greece","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2005","6.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","348","HUN","Hungary","2006","7.0",
